Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
75,-0.2148,-0.1055,0.2471,2.8519,0.2378,1.3254
76,-0.214,-0.1071,0.2473,2.8492,0.2395,1.327
77,-0.2133,-0.1085,0.2475,2.8465,0.2411,1.3286
78,-0.2124,-0.1102,0.2478,2.8441,0.2426,1.33
79,-0.2115,-0.1119,0.248,2.8415,0.2442,1.3316
80,-0.2107,-0.1133,0.2482,2.839,0.2458,1.3331
81,-0.2098,-0.115,0.2484,2.8368,0.2472,1.3344
82,-0.2089,-0.1166,0.2486,2.8343,0.2487,1.3358
83,-0.208,-0.1183,0.2489,2.832,0.2501,1.3372
84,-0.2075,-0.1191,0.249,2.8302,0.2513,1.3383
85,-0.2073,-0.1195,0.249,2.8293,0.2518,1.3388
86,-0.2071,-0.1197,0.2491,2.8289,0.252,1.339
87,-0.207,-0.1209,0.249,2.8277,0.2528,1.3398
88,-0.2072,-0.1222,0.2487,2.8244,0.2548,1.3419
89,-0.2077,-0.1235,0.2483,2.82,0.2575,1.3446
90,-0.2085,-0.1247,0.2479,2.815,0.2606,1.3477
91,-0.2095,-0.1257,0.2473,2.8097,0.264,1.351
92,-0.2105,-0.1266,0.2468,2.8042,0.2676,1.3545
93,-0.212,-0.1276,0.2461,2.7985,0.2712,1.3579
94,-0.2147,-0.128,0.2453,2.7925,0.2752,1.3616
95,-0.216,-0.1286,0.2447,2.7864,0.2794,1.3653
96,-0.2186,-0.1288,0.244,2.7806,0.2832,1.3688
97,-0.221,-0.1288,0.2434,2.7743,0.2875,1.3726
98,-0.2232,-0.1289,0.2429,2.7682,0.2916,1.3763
99,-0.2255,-0.1286,0.2427,2.762,0.2956,1.3799
100,-0.2277,-0.1286,0.2424,2.7559,0.2996,1.3836
101,-0.2301,-0.1283,0.2423,2.75,0.3034,1.3872
102,-0.2309,-0.1287,0.242,2.7442,0.307,1.3907
103,-0.2334,-0.1284,0.2419,2.7386,0.3105,1.3941
104,-0.2359,-0.1281,0.2419,2.7323,0.3146,1.3978
105,-0.2379,-0.1279,0.242,2.7262,0.3185,1.4014
106,-0.2401,-0.1278,0.242,2.7207,0.322,1.4047
107,-0.242,-0.1276,0.2421,2.7146,0.3259,1.4085
108,-0.2441,-0.1275,0.2422,2.709,0.3294,1.4118
109,-0.2447,-0.128,0.2418,2.7031,0.3331,1.4154
110,-0.2471,-0.1278,0.2418,2.6974,0.3366,1.4188
111,-0.2492,-0.1276,0.2418,2.6912,0.3407,1.4225
112,-0.2517,-0.1273,0.242,2.6852,0.3446,1.4261
113,-0.2536,-0.1272,0.2421,2.6793,0.3483,1.4297
114,-0.2559,-0.127,0.2422,2.6734,0.352,1.4332
115,-0.2579,-0.1269,0.2423,2.6675,0.3557,1.4368
116,-0.2584,-0.1274,0.2419,2.6619,0.3592,1.4401
117,-0.2608,-0.1272,0.2418,2.6564,0.3626,1.4435
118,-0.2633,-0.1269,0.2419,2.6504,0.3666,1.4471
119,-0.2654,-0.1267,0.2421,2.644,0.3706,1.4509
120,-0.2675,-0.1266,0.2422,2.6383,0.3742,1.4543
121,-0.2695,-0.1264,0.2423,2.6326,0.3778,1.4578
122,-0.2715,-0.1263,0.2423,2.6268,0.3815,1.4612
123,-0.2735,-0.1262,0.2424,2.621,0.3851,1.4647
124,-0.2754,-0.1261,0.2424,2.6152,0.3888,1.4682
125,-0.2774,-0.126,0.2424,2.6094,0.3924,1.4717
126,-0.2791,-0.1259,0.2425,2.6036,0.3961,1.4752
127,-0.2811,-0.1259,0.2424,2.5983,0.3994,1.4784
128,-0.2828,-0.1258,0.2424,2.5923,0.4032,1.482
129,-0.2849,-0.1257,0.2423,2.5869,0.4066,1.4852
130,-0.287,-0.1257,0.2423,2.5808,0.4105,1.4889
131,-0.289,-0.1256,0.2424,2.5745,0.4145,1.4927
132,-0.2909,-0.1255,0.2424,2.5688,0.4181,1.4961
133,-0.2928,-0.1254,0.2424,2.5631,0.4217,1.4996
134,-0.2947,-0.1253,0.2424,2.5574,0.4253,1.503
135,-0.2966,-0.1253,0.2423,2.5516,0.429,1.5065
136,-0.2985,-0.1252,0.2423,2.5459,0.4326,1.51
137,-0.3002,-0.1252,0.2423,2.5401,0.4363,1.5135
138,-0.3026,-0.1249,0.2425,2.5347,0.4397,1.5167
139,-0.3045,-0.1249,0.2425,2.5286,0.4435,1.5203
140,-0.3065,-0.1247,0.2427,2.5227,0.4472,1.5239
141,-0.3083,-0.1247,0.2425,2.5173,0.4506,1.5272
142,-0.3106,-0.1246,0.2427,2.5112,0.4544,1.5308
143,-0.3123,-0.1246,0.2425,2.5052,0.4582,1.5344
144,-0.3145,-0.1244,0.2427,2.4994,0.4619,1.5379
145,-0.3167,-0.1243,0.2429,2.4935,0.4656,1.5415
146,-0.3183,-0.1243,0.2427,2.4876,0.4693,1.545
147,-0.3183,-0.1252,0.2424,2.4825,0.4726,1.5481
148,-0.318,-0.1263,0.2422,2.4784,0.4752,1.5505
149,-0.3177,-0.1276,0.2423,2.4745,0.4776,1.5528
150,-0.3174,-0.129,0.2424,2.4708,0.4799,1.555
151,-0.317,-0.1305,0.2425,2.4672,0.4822,1.5572
152,-0.3166,-0.1321,0.2427,2.4636,0.4844,1.5593
153,-0.3162,-0.1337,0.2429,2.4601,0.4866,1.5613
154,-0.3157,-0.1353,0.2432,2.4567,0.4887,1.5633
155,-0.3152,-0.1369,0.2434,2.4533,0.4907,1.5653
156,-0.3147,-0.1386,0.2436,2.45,0.4928,1.5673
157,-0.3142,-0.1403,0.2438,2.4468,0.4948,1.5692
158,-0.3136,-0.1422,0.2441,2.4435,0.4968,1.5711
159,-0.313,-0.1438,0.2443,2.4401,0.4989,1.5731
160,-0.3125,-0.1453,0.2445,2.4371,0.5007,1.5749
161,-0.3119,-0.147,0.2447,2.4344,0.5024,1.5765
162,-0.3113,-0.1487,0.2448,2.4313,0.5043,1.5783
163,-0.3106,-0.1505,0.245,2.4282,0.5062,1.5801
164,-0.3099,-0.1522,0.2452,2.4253,0.508,1.5819
165,-0.3093,-0.1539,0.2454,2.4224,0.5098,1.5836
166,-0.3086,-0.1556,0.2456,2.4196,0.5115,1.5852
167,-0.3079,-0.1573,0.2458,2.4168,0.5132,1.5869
168,-0.3072,-0.159,0.2459,2.4141,0.5149,1.5885
169,-0.3065,-0.1607,0.2461,2.4114,0.5166,1.5901
