Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
326,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
327,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
328,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
329,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
330,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
331,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
332,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
333,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
334,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
335,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
336,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
337,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
338,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
339,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
340,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
341,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
342,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
